county,subdivision,home_count,avg_year_built,min_year_built,max_year_built,avg_sqft,avg_floors,avg_value,avg_acres,cities,sample_addresses
Salt Lake,Jones Mdws Ph 2,22,2002.4,2002,2005,2329.5,1.3,883818.2,0.4,South Jordan,3258 W 10755 S; 3268 W CORINNE DR; 3267 W CORINNE DR
Salt Lake,Wasatch Mdws South Ph 4 Amd,22,2001.6,2000,2006,1933.4,1.1,687331.8,0.3,South Jordan,4433 W SUNNY MEADOW DR; 4427 W SUNNY MEADOW DR; 4428 W SID DR
Utah,Thanksgiving Meadows Pud Plat D2,22,2012.3,2012,2013,2243.4,1.9,623495.5,0.1,Lehi,3459 N BEAR HOLLOW WAY; 3465 N BEAR HOLLOW WAY; 3477 N BEAR HOLLOW WAY
Utah,Vivian Estates Plat B,22,2019.3,2018,2020,2612.3,1.7,1137895.5,0.3,Lehi,2585 N 400 E; 2586 N 400 E; 2555 N 400 E
Salt Lake,East Riverwalk Parcel 2 Ph 4,22,2014.2,2013,2016,1810.1,1.8,609745.5,0.1,Midvale,837 W PRESIDIO DR; 831 W PRESIDIO DR; 6792 S KRUTOY LN
Salt Lake,Holladay Farms Pud,22,2005.2,2005,2006,1517.0,1.0,890336.4,0.1,Holladay,1802 E HOLLADAY FARM LN; 1808 E HOLLADAY FARM LN; 1812 E HOLLADAY FARM LN
Salt Lake,Princeton Park Ph 1 Pud,22,2009.0,2009,2009,1559.5,1.9,432304.5,0.0,West Jordan,7822 S TIGER CT; 7818 S TIGER CT; 7816 S TIGER CT
Salt Lake,Margarett Park Est Ph 2,22,2001.3,2000,2004,1881.3,1.1,723004.5,0.3,Riverton,12172 S MARGARET PARK DR; 12192 S MARGARET PARK DR; 12202 S MARGARET PARK DR
Salt Lake,Cove At Herriman Springs Ph 5d,22,2010.7,2007,2014,2355.4,1.5,763672.7,0.3,Herriman,14814 S CLEAR WATER DR; 14826 S CLEAR WATER DR; 6756 W CLEAR WATER DR
Salt Lake,Crescent Hollow,22,2009.4,2007,2015,2563.1,1.5,1024859.1,0.3,Sandy,163 E HOLLOW BEND DR; 177 E HOLLOW BEND DR; 189 E HOLLOW BEND DR
Salt Lake,Miller Crossing Estates,22,2019.0,2019,2019,2427.8,1.8,732413.6,0.2,Herriman,5962 W GRAIN MILL RD; 5946 W GRAIN MILL RD; 5938 W GRAIN MILL RD
Salt Lake,Moonlit Mdws At Elk Run,22,2001.5,2000,2004,1464.0,1.5,477227.3,0.2,Magna City,3511 S HELEN DR; 3517 S HELEN DR; 3525 S HELEN DR
Salt Lake,Parkside Subdivision Ph 1,22,2018.0,2018,2018,1838.6,3.0,427950.0,0.0,West Jordan,7852 S 5440 W; 7854 S 5440 W; 7856 S 5440 W
Utah,Timpanogos Ranchettes Plat B Amd,22,2011.9,2005,2018,2809.5,1.4,1641718.2,0.8,Highland,10501 N PEYTON AVE; 5782 W MADDIE LN; 5782 W MADDIE LN
Salt Lake,Mountain Heights At Rosecrest Ph 5,22,2016.2,2016,2017,2165.7,2.0,592822.7,0.1,Herriman,14472 S CHROME RD; 14484 S CHROME RD; 14488 S CHROME RD
Salt Lake,Park View At River Walk Ph 2a Pud,22,2009.4,2008,2010,1509.7,2.0,423795.5,0.0,Midvale,978 W VILLAGE BEND LN; 972 W VILLAGE BEND LN; 966 W VILLAGE BEND LN
Utah,Temple Meadows Plat D,22,2007.6,2006,2014,2684.1,1.9,722254.5,0.2,American Fork,626 N 1200 E; 618 N 1200 E; 602 N 1200 E
Salt Lake,Oak Hollow Ph 1 Pud,22,2017.7,2016,2020,2651.8,1.4,1068909.1,0.4,Herriman,14068 S SLEEPY OAKS LN; 14074 S SLEEPY OAKS LN; 14102 S SLEEPY OAKS LN
Salt Lake,Glenmoor Greens,22,2015.8,2015,2017,1743.0,1.5,626963.6,0.1,South Jordan,4787 W ELS CT; 4783 W ELS CT; 4777 W ELS CT
Salt Lake,Old Mill Point Pud,22,2006.0,2005,2008,2169.6,1.0,1083972.7,0.2,Cottonwood Heights,6618 S HIDDEN MILL CV; 6624 S HIDDEN MILL CV; 6638 S HIDDEN MILL CV
Salt Lake,Lucky Clover,22,2009.8,2007,2012,1856.5,1.2,752400.0,0.2,West Jordan,1134 W RURAL RD; 1122 W RURAL RD; 1108 W RURAL RD
Utah,Spring Creek Ranch Plat E,22,2008.8,2007,2012,2507.6,1.8,578818.2,0.2,Lehi,722 E 1470 S; 725 E 1470 S; 713 E 1470 S
Utah,Utah Highlands Plat F,22,2003.1,2002,2004,2009.2,1.4,842340.9,0.4,Lehi,2819 N 1050 E; 2819 N 1050 E; 2835 N 1050 E
Utah,Sunrise Point Phase I,22,2006.8,2000,2019,1957.1,1.3,1910527.3,1.3,Alpine,247 N SUNRISE DR; 675 W HUBBARD CIR; 310 N SUNRISE DR
Salt Lake,Sommerglen Heights At The Highlands Ph 3,22,2018.0,2018,2018,2224.2,1.4,771854.5,0.3,West Jordan,7414 S 5765 W; 7424 S 5765 W; 7432 S 5765 W
Salt Lake,Somerset Villas Ph 1,22,2014.3,2013,2015,1625.6,2.0,481468.2,0.0,West Jordan,7177 S CALAIS VILLAS WAY; 7179 S CALAIS VILLAS WAY; 7183 S CALAIS VILLAS WAY
Utah,Sunrise Meadows Plat D,22,2003.5,2002,2005,1887.1,1.6,587272.7,0.2,Saratoga Springs,864 N BUFFALO DR; 848 N BUFFALO DR; 832 N BUFFALO DR
Salt Lake,Shoshone Est Ph 1,22,2009.6,2000,2020,3125.5,1.7,928445.5,0.5,Herriman,14232 S KNAPPER POINT CV; 14252 S KNAPPER POINT CV; 14262 S KNAPPER POINT CV
Salt Lake,Oak Vista 9 At Suncrest Amd,22,2003.5,2002,2006,1718.7,1.6,624336.4,0.2,Draper,2003 E ASPEN GROVE CT; 2007 E ASPEN GROVE CT; 2013 E ASPEN GROVE CT
Salt Lake,Chesterfield,22,2007.5,2000,2020,1642.5,1.2,449509.1,0.2,West Valley City,1671 W CRYSTAL AVE; 1614 W MALVERN AVE; 1664 W MALVERN AVE
Salt Lake,Scenic Mountain Plat C,22,2019.6,2019,2020,2513.7,1.7,774454.5,0.3,Herriman,7408 W ARLA J WAY; 7392 W ARLA J WAY; 7378 W ARLA J WAY
Utah,Val Vista Park Pud Plat A Amd Amd,22,2001.7,2000,2006,2534.5,1.5,831486.4,0.3,American Fork,1175 E 1180 N; 1197 N 1190 E; 1219 N 1190 E
Salt Lake,Copperview,22,2000.9,2000,2002,1128.1,1.0,336922.7,0.1,Magna City,7456 W MINESIDE DR; 7454 W MINESIDE DR; 7329 W MINESIDE DR
Salt Lake,Scenic Cove Ph 2,22,2008.8,2006,2018,2584.2,1.5,790409.1,0.3,Riverton,11857 S SCENIC ACRES DR; 11867 S SCENIC ACRES DR; 11889 S SCENIC ACRES DR
Utah,Willow Springs Plat A,22,2015.7,2015,2020,2456.5,1.8,716195.5,0.2,Lehi,2325 W 70 N; 2313 W 70 N; 2301 W 70 N
Salt Lake,Kennecott Daybreak Vlge 4a Pl 1,22,2010.2,2009,2013,1476.6,1.0,572068.2,0.1,South Jordan,11189 S ARUGLA WAY; 11181 S ARUGLA WAY; 4856 W RAPHANUS LN
Utah,Valley Crest At Spanish Fork Plat A,22,2005.8,2004,2017,1434.0,1.1,549640.9,0.3,Spanish Fork,697 N REES AVE; 697 N REES AVE; 513 N REES AVE
Utah,Sunset Meadows Plat A,22,2002.3,2001,2005,1121.1,1.1,506368.2,0.3,Lehi,580 S 1700 W; 1775 W SNOW SPRING DR; 1751 W SNOW SPRING DR
Utah,Village Of Hawks Estates Phase 3 The,22,2019.6,2019,2020,2269.5,1.9,542181.8,0.1,Saratoga Springs,3237 S PEREGRINE TRL; 3243 S PEREGRINE TRL; 3249 S PEREGRINE TRL
Salt Lake,72nd Street Villas Pud,22,2007.0,2007,2007,1397.1,2.0,527813.6,0.0,Midvale,383 E VILLA PLACE CT; 387 E VILLA PLACE CT; 393 E VILLA PLACE CT
Utah,Spring Creek Ranch Plat C,22,2007.2,2005,2010,2687.2,1.8,602109.1,0.2,Lehi,1522 S DRAGONFLY DR; 1521 S DRAGONFLY DR; 1349 S DRAGONFLY DR
Utah,Cherry Ridge Plat B,22,2004.3,2002,2007,1530.5,1.3,595872.7,0.3,Salem,157 E 900 S; 179 E 900 S; 203 E 900 S
Utah,Highlands At Bald Mountain Plat C,22,2016.3,2015,2019,2796.5,1.6,1146318.2,0.4,Lindon,704 E 680 N; 724 E 680 N; 748 E 680 N
Utah,Holbrook Farms Plat A Phase 11,22,2020.0,2020,2020,2336.2,1.5,879313.6,0.3,Lehi,2889 N 3480 W; 2871 N 3480 W; 2835 N 3480 W
Utah,Jay's Place Plat A,22,2019.4,2014,2020,2091.9,1.5,806868.2,0.4,Lehi,3017 W WILLOW DR; 3005 W WILLOW DR; 2977 W WILLOW DR
