Rank,,Location,Remodeling Gross Sales 2024,Remodeling Jobs,Gross Revenue 2024,Remodeling Segment Focus,No. of Employees,Qualified Remodeler Link
213,Brennan Enterprises,"Arlington, Texas","$11,782,547",805,"$14,596,132",Replacement | Home Improvement,24,https://www.qualifiedremodeler.com/firm/brennan-enterprises/?y=2025
214,Emmons,"Williamstown, New Jersey","$11,779,605","1,186","$14,371,427",Full-Service,41,https://www.qualifiedremodeler.com/firm/emmons/?y=2025
215,Zackwood Inc. dba Energycore Construction,"Anaheim, California","$11,682,398",567,"$11,682,398",Replacement | Home Improvement,10,https://www.qualifiedremodeler.com/firm/energycore-construction/?y=2025
216,Feinmann Inc.,"Lexington, Massachusetts","$11,658,299",40,"$11,658,299",Design-Build,30,https://www.qualifiedremodeler.com/firm/feinmann-inc/?y=2025
217,STL Design and Build,"Maryland Heights, Missouri","$11,652,000",321,"$12,658,000",Replacement | Home Improvement,32,https://www.qualifiedremodeler.com/firm/stl-design-build-llc/?y=2025
218,Mitchell Construction Group LLC,"Medfield, Massachusetts","$11,553,270",69,"$11,553,270",Design-Build,29,https://www.qualifiedremodeler.com/firm/mitchell-construction-group-llc/?y=2025
219,Deckscapes of Virginia LLC,"Catharpin, Virginia","$11,450,000",92,"$11,450,000",Replacement | Home Improvement,21,https://www.qualifiedremodeler.com/firm/deckscapes-of-virginia-llc/?y=2025
220,Erdmann Exterior Designs Ltd.,"Arlington Heights, Illinois","$11,285,873",152,"$11,285,873",Replacement | Home Improvement,30,https://www.qualifiedremodeler.com/firm/erdmann-exterior-designs-ltd/?y=2025
221,Roof-Tastic & Beyond Exteriors,"Peachtree City, Georgia","$11,258,757",806,"$11,258,757",Replacement | Home Improvement,17,https://www.qualifiedremodeler.com/firm/roof-tastic-beyond-exteriors/?y=2025
222,Crane Builders LLC,"Nashville, Tennessee","$11,200,370",24,"$11,200,370",Full-Service,12,https://www.qualifiedremodeler.com/firm/crane-builders-llc/?y=2025
223,Garrety Home Pros,"Dallastown, Pennsylvania","$11,139,479",784,"$20,941,779",Replacement | Home Improvement,101,https://www.qualifiedremodeler.com/firm/garrety-glass-betterliving-sunrooms/?y=2025
224,MaxGuard Hurricane Windows,"West Palm Beach, Florida","$11,069,025",357,"$13,768,742",Replacement | Home Improvement,11,https://www.qualifiedremodeler.com/firm/max-guard-hurricane-windows/?y=2025
225,Sun Coast Remodelers,"San Diego, California","$10,813,508",575,"$10,813,508",Replacement | Home Improvement,25,https://www.qualifiedremodeler.com/firm/sun-coast-remodelers-inc/?y=2025
226,Craftmasters Remodeling Inc.,"Maplewood, Minnesota","$10,763,886",195,"$10,763,886",Kitchen & Bath Design Remodeling,30,https://www.qualifiedremodeler.com/firm/craftmasters-remodeling-inc-2/?y=2025
227,Nu-Face of CT LLC,"Berlin, Connecticut","$10,672,948",890,"$10,672,948",Full-Service,16,https://www.qualifiedremodeler.com/firm/nuface-of-ct/?y=2025
228,BT3 Renovations LLC,"Beavercreek, Ohio","$10,622,295",898,"$10,622,295",Full-Service,25,https://www.qualifiedremodeler.com/firm/bt3-renovations-llc/?y=2025
229,Pond Roofing Company,"Fairfax, Virginia","$10,570,126","1,031","$10,570,126",Replacement | Home Improvement,26,https://www.qualifiedremodeler.com/firm/pond-roofing-and-exteriors/?y=2025
230,Outback Deck Inc.,"Woodstock, Georgia","$10,427,880",161,"$10,427,880",Replacement | Home Improvement,31,https://www.qualifiedremodeler.com/firm/outback-deck-inc/?y=2025
231,Tar Heel Construction Group LLC,"Bel Air, Maryland","$10,387,998",900,"$10,387,998",Replacement | Home Improvement,17,https://www.qualifiedremodeler.com/firm/tar-heel-construction-group-llc/?y=2025
232,HIVEX Basement Finishing Co.,"Fredericksburg, Virginia","$10,318,516",196,"$10,318,516",Replacement | Home Improvement,40,https://www.qualifiedremodeler.com/firm/hivex-basement-finishing-co/?y=2025
233,Burnett Home Improvement,"Tulsa, Oklahoma","$10,210,577","1,181","$10,210,577",Replacement | Home Improvement,55,https://www.qualifiedremodeler.com/firm/burnett-home-improvement/?y=2025
234,ExteriorMax,"Greenbelt, Maryland","$10,167,112",573,"$10,246,896",Insurance Restoration,50,https://www.qualifiedremodeler.com/firm/exteriormax/?y=2025
235,Next Stage Design + Build,"San Jose, California","$10,052,841",30,"$10,848,338",Design-Build,26,https://www.qualifiedremodeler.com/firm/next-stage-design-build/?y=2025
236,Express Sunrooms Of Charleston,"Ladson, South Carolina","$10,050,406",759,"$10,050,406",Replacement | Home Improvement,25,https://www.qualifiedremodeler.com/firm/express-sunrooms-of-charleston-llc/?y=2025
237,BasementRemodeling.com,"Hyattsville, Maryland","$10,043,365",109,"$10,043,365",Design-Build,18,https://www.qualifiedremodeler.com/firm/basement-remodeling/?y=2025
238,SeekOne Roofing,"Brentwood, Tennessee","$10,026,551",420,"$10,026,551",Replacement | Home Improvement,7,https://www.qualifiedremodeler.com/firm/seekone-roofing/?y=2025
239,Stoneridge Outdoor Living,"Winchester, Virginia","$9,997,220",279,"$9,997,220",Replacement | Home Improvement,35,https://www.qualifiedremodeler.com/firm/stoneridge-outdoor-living-llc/?y=2025
240,Unified Home Remodeling,"Baldwin, New York","$9,914,289","1,748","$9,914,289",Replacement | Home Improvement,35,https://www.qualifiedremodeler.com/firm/unified-home-remodeling/?y=2025
241,Exterior Pros,"Sussex, Wisconsin","$9,907,729",476,"$9,907,729",Replacement | Home Improvement,51,https://www.qualifiedremodeler.com/firm/exterior-pros/?y=2025
242,Callen Construction Inc.,"Muskego, Wisconsin","$9,898,470",355,"$9,898,470",Design-Build,40,https://www.qualifiedremodeler.com/firm/callen-construction-inc/?y=2025
243,Windows and Doors by The Men With Tools,"South Amboy, New Jersey","$9,811,989",913,"$9,811,989",Replacement | Home Improvement,42,https://www.qualifiedremodeler.com/firm/the-men-with-tools-windows-and-doors/?y=2025
244,Rise Renovation,"Lakewood, Colorado","$9,798,660",660,"$9,798,682",Replacement | Home Improvement,40,https://www.qualifiedremodeler.com/firm/rise-renovation/?y=2025
245,Lutgen Companies,"Waite Park, Minnesota","$9,704,994",806,"$9,704,994",Replacement | Home Improvement,34,https://www.qualifiedremodeler.com/firm/lutgen-companies/?y=2025
246,HomePro Builders Inc. (HomePro Mobility),"Loganville, Georgia","$9,677,567","1,438","$9,677,567",Full-Service,17,https://www.qualifiedremodeler.com/firm/homepro-builders-inc-homepro-mobility/?y=2025
247,Michael F Simon Builders,"Waunakee, Wisconsin","$9,634,846",33,"$10,610,694",Full-Service,21,https://www.qualifiedremodeler.com/firm/michael-f-simon-builders/?y=2025
248,Totally Basements,"Manalapan, New Jersey","$9,610,134",302,"$9,596,984",Replacement | Home Improvement,23,https://www.qualifiedremodeler.com/firm/totally-basements/?y=2025
249,Aloft Remodeling,"Arcaida, California","$9,594,437",510,"$15,991,943",Kitchen & Bath Design Remodeling,100,https://www.qualifiedremodeler.com/firm/aloft-remodeling/?y=2025
250,Accord Restoration,"Harrisburg, Pennsylvania","$9,536,713",345,"$9,536,713",Insurance Restoration,35,https://www.qualifiedremodeler.com/firm/accord-restoration/?y=2025
251,Bumble Roofing,"Glen Allen, Virginia","$9,510,048",528,"$9,510,048",Replacement | Home Improvement,25,https://www.qualifiedremodeler.com/firm/la-roofing-and-builder-group-inc/?y=2025
252,Hutcherson Construction LLC,"Plainwell, Michigan","$9,494,975",360,"$9,494,975",Replacement | Home Improvement,51,https://www.qualifiedremodeler.com/firm/hutcherson-construction-llc/?y=2025
253,Glicks Exteriors,"Gap, Pennsylvania","$9,444,298",355,"$9,444,298",Replacement | Home Improvement,22,https://www.qualifiedremodeler.com/firm/glicks-exteriors/?y=2025
254,Park Atlanta Homes,"Fayetteville, Georgia","$9,405,343",119,"$9,405,343",Full-Service,14,https://www.qualifiedremodeler.com/firm/park-atlanta-homes/?y=2025
255,JDH Remodeling,"Saint Leonard, Maryland","$9,395,219",467,"$9,395,219",Replacement | Home Improvement,15,https://www.qualifiedremodeler.com/firm/jdh-remodeling/?y=2025
256,Foster Remodeling Solutions Inc.,"Lorton, Virginia","$9,379,948",133,"$9,379,948",Design-Build,35,https://www.qualifiedremodeler.com/firm/foster-remodeling-solutions-inc/?y=2025
257,Budget Exteriors Inc.,"Bloomington, Minnesota","$9,330,765",689,"$9,330,765",Replacement | Home Improvement,80,https://www.qualifiedremodeler.com/firm/budget-exteriors-inc/?y=2025
258,The Home Doctor Exterior,"Falls Church, Virginia","$9,325,923",826,"$9,325,923",Replacement | Home Improvement,45,https://www.qualifiedremodeler.com/firm/the-home-doctor-exterior/?y=2025
